Serviço;Cnpj;RazaoSocial;ValorMaximo;Periodicidade
Comum_para débito_saque_consultas;3519240;COOPERATIVA DE CRÉDITO DOS INTEGRANTES DO PODER JUDICIÁRIO E DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB JUS-MP;10;A cada 1825 dias
Comum_para débito_saque_consultas;78862083;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CAMPOS NOVOS - SICOOB CAMPOS NOVOS;10;A cada 30 dias
Comum_para débito_saque_consultas;78858107;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS AURIVERDE -  SICOOB - CREDIAL SC/RS;10;A cada 360 dias
Comum_para débito_saque_consultas;41931221;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PITANGUI, PAPAGAIOS, MARAVILHAS E REGIÃO LTDA. - SICOOB CREDICOOP;10;A cada 30 dias
Comum_para débito_saque_consultas;7669921;COOPERATIVA DE CRÉDITO MÚTUO - SICOOB CREDIACISC;10;A cada 30 dias
Comum_para débito_saque_consultas;53236808;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE LIVRE ADMISSÃO DE ARARAQUARA E REGIÃO - SICOOB;10;A cada 360 dias
Comum_para débito_saque_consultas;2179673;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA ÁREA DE SAÚDE DE OURINHOS - OURICRED;10;A cada 360 dias
Comum_para débito_saque_consultas;3941182;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS;10;A cada 30 dias
Comum_para débito_saque_consultas;698609;COOPERATIVA DE CRÉDITO DO NORTE E NOROESTE DE MINAS GERAIS LTDA. - SICOOB CREDIGERAIS;10;A cada 30 dias
Comum_para débito_saque_consultas;9424988;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE;10;A cada 365 dias
Comum_para débito_saque_consultas;6324872;COOPERATIVA DE CRÉDITO CREDINOSSO LTDA - SICOOB CREDINOSSO;10;A cada 30 dias
Comum_para débito_saque_consultas;5477038;COOPERATIVA DE CRÉDITO NO PIAUÍ - SICOOB PIAUÍ;10;A cada 180 dias
